title,item_code,division_id,vendor_id,status,mrp,barcode,brand,created_at,updated_at,category_id,section_id,,
GANDOUR PIK ONE 2F CHOCLATE,BM65629,FMCG FOOD,Maruti Trading Pvt.Ltd.,Non Extinct,20,8.90336E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
GANDOUR PIK ONE 4F CHOCLATE,BM65630,FMCG FOOD,Maruti Trading Pvt.Ltd.,Non Extinct,40,8.90336E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
VOCHELLE ASSORTMENT 325G (SQ TIN),BM65362,FMCG FOOD,Radhika Import Export,Non Extinct,1170,9.55605E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
HEART BEAT CORAZON CANDY 25G,BM65433,FMCG FOOD,Radhika Import Export,Non Extinct,10,8.85063E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
GREEN PEARS USA,BM16513,FRESH,G.T.FRUIT CENTER (P).LTD.,Extinct,295,2119,,6/20/2017 10:56,6/20/2017 10:56,,FRESH FRUIT & VEGETABLE,,
RADISH RED,BM18129,FRESH,Fresh Vegetable & Fruit Centre,Extinct,30,1136,,6/20/2017 10:56,6/20/2017 10:56,,FRESH FRUIT & VEGETABLE,,
HIMALAYA ALMOND & ROSE SOAP 125G,BM59200,FMCG H&B,Mangalam International Pvt.Ltd. HIMALAYA,Extinct,64,8.90114E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
LEXUS SANDWICH CALCIUM CRACKER PEANUT BUTTER 225G,BM63475,FMCG FOOD,Khetan Overseas\Nikhil & Brothers\Suprime Mktg\Basanta Chemicals,Non Extinct,260,9.55644E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
HALO NOURISHING SHAMPOO WITH CONDITIONER 1000ML,BM6604,FMCG H&B,Riyaz Traders Pvt.Ltd.,Non Extinct,448,8.90131E+12,,6/20/2017 10:56,6/20/2017 10:56,,HAIR CARE,,
GODREJ NO. 1 LIME & ALOE VERA BATH SOAP 68G,BM60522,FMCG H&B,Atlantic Enterprises Pvt.Ltd ( GODREJ ),Non Extinct,17,8.90102E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
NATURAL FRUIT JUICE  1LTR. ORANGE,BM14976,FMCG FOOD,Subha Trade Concern,Non Extinct,245,9.55753E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
KRUGER APPLE TEA DRINK 400G,BM6799,FMCG FOOD,Radhika Import Export,Non Extinct,372,4.0527E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
NATURAL FRUIT JUICE ( SUGAR FREE) ORANGE 1LTR,BM21042,FMCG FOOD,Subha Trade Concern,Non Extinct,255,9.55753E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
NATURAL FRUIT JUICE ( SUGAR FREE) PINEAPPLE 1LTR,BM21044,FMCG FOOD,Subha Trade Concern,Non Extinct,255,9.55753E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
CYCLE PURE AGARBATHIES ECO PACK,BM57141,FMCG H&H,Straina International Pvt. Ltd.,Extinct,200,8.90175E+12,,6/20/2017 10:56,6/20/2017 10:56,,PUJA NEEDS,,
HIMALAYA PROTEIN CONDITIONER (DAMAGE & REPAIR) 200ML,BM63048,FMCG H&B,Mangalam International Pvt.Ltd. HIMALAYA,Non Extinct,208,8.90114E+12,,6/20/2017 10:56,6/20/2017 10:56,,HAIR CARE,,
DRUK MANGO JUICE SWEETENED 800ML,BM4283,FMCG FOOD,Aadarsha Marketing Pvt. Ltd.Druk,Non Extinct,155,8.90182E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
UNIBIS BUTTER COOKIES 150G,BM63576,FMCG FOOD,Tunchhe Trans Himalayan Trading concern,Non Extinct,90,8.90601E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
CATCH SAMBHAR MASALA 100G,BM4229,STAPLE,Kunj Trading Pvt. Ltd.,Non Extinct,116,8.90119E+12,,6/20/2017 10:56,6/20/2017 10:56,,SPICES,,
NATURAL FRUIT JUICE 2LTR.- MIXED,BM14971,FMCG FOOD,Subha Trade Concern,Non Extinct,470,9.55753E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
NATURAL FRUIT JUICE  1LTR.- APPLE,BM14975,FMCG FOOD,Subha Trade Concern,Non Extinct,245,9.55753E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
ELISE CANDY ASSORTED TUFFLE500GM,BM66467,FMCG FOOD,Pushp Deep Intenational,Non Extinct,425,8.68097E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
KNORR SOUP CHINESE HOT & SOUR VEGETABLE 43G,BM58703,FMCG FOOD,Krishna Nepal Trading Pvt. Ltd.( food),Non Extinct,75,8.90103E+12,,6/20/2017 10:56,6/20/2017 10:56,,NOODLES & SOUP,,
PARACHUTE BODY LOTION BUTTER SMOOTH100ML,BM60245,FMCG H&B,Krishna Nepal Trading Pvt. Ltd.(MARICO),Non Extinct,112,8.90109E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
EMAMI FAIR & HANDSOME INSTANT FACE WASH 50ML,BM66482,FMCG H&B,Shree Ganesh Cosmetics Center,Non Extinct,128,8.90125E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
HALDIRAMS CHANA JOR GARAM 200G,BM55106,FMCG FOOD,Vishwanath trade House Pvt.Ltd./Devki Overseas,Non Extinct,101,8.90406E+12,,6/20/2017 10:56,6/20/2017 10:56,,SNACKS/SAVOURIES,,
HALDIRAMS MINUTE KHANA KADHI PAKODA 300G,BM55117,FMCG FOOD,Vishwanath trade House Pvt.Ltd./Devki Overseas,Non Extinct,110,8.90406E+12,,6/20/2017 10:56,6/20/2017 10:56,,READY MEAL-EAT/FRY,,
PROTINEX  ORIGINAL FLAVOUR 400GM,BM66029,FMCG FOOD,Reliance Infratech Pvt. Ltd,Non Extinct,890,8.90605E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
HALDIRAMS ALOO BHUJIA 200G,BM55185,FMCG FOOD,Vishwanath trade House Pvt.Ltd./Devki Overseas,Non Extinct,98,8.90406E+12,,6/20/2017 10:56,6/20/2017 10:56,,SNACKS/SAVOURIES,,
HIMANI NAVRATNA OIL 500ML,BM19519,FMCG H&B,Shree Ganesh Cosmetics Center,Non Extinct,400,8.90125E+12,,6/20/2017 10:56,6/20/2017 10:56,,HAIR CARE,,
HIMANI BORO PLUS ANTISEPTIC CREAM 80ML,BM57052,FMCG H&B,Shree Ganesh Cosmetics Center,Non Extinct,152,8.90125E+12,,6/20/2017 10:56,6/20/2017 10:56,,OTC NON FOOD,,
PRIYAGOLD BUTTER BITE PISTA & ALMOND 750GM,BM65429,FMCG FOOD,Vishwanath & Sons,Non Extinct,350,8.90165E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
PROTINEX  ELAICHI FLAVOUR 250GM,BM66032,FMCG FOOD,Reliance Infratech Pvt. Ltd,Non Extinct,560,8.90605E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
PROTINEX  ORIGINAL FLAVOUR 250GM,BM66033,FMCG FOOD,Reliance Infratech Pvt. Ltd,Non Extinct,570,8.90605E+12,,6/20/2017 10:56,6/20/2017 10:56,,BEVERAGE,,
SRI SRI AYURVEDA CUCUMBER LEMON FACE WASH  60 ML,BM67292,FMCG H&B,Sarva Ayurveda Pvt. Ltd.,Non Extinct,120,8.90604E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
PRIYAGOLD BUTTER BITE CASHEW 750GM,BM65428,FMCG FOOD,Vishwanath & Sons,Non Extinct,325,8.90165E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
SG GRANDIES SPECIAL CRACKER 150GM(NO ADDED SUGAR),BM66963,FMCG FOOD,Sama International Pvt. Ltd,Non Extinct,125,9.55539E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
DETTOL ORIGINAL LIQUID HANDWASH 900ML,BM62809,FMCG H&B,KAP Traders Pvt. Ltd,Extinct,302,8.9014E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
DETTOL SKIN CARE LIQUID HAND WASH 185G X 2,BM62823,FMCG H&B,KAP Traders Pvt. Ltd,Extinct,123,8.9014E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
DETTOL SENSITIVE LIQUID HANDWASH 200ML CP,BM67208,FMCG H&B,KAP Traders Pvt. Ltd,Non Extinct,136,8.9014E+12,,6/20/2017 10:56,6/20/2017 10:56,,SKIN CARE,,
JABSON RASMALAI 1000GM,BM67661,FMCG FOOD,Mangal Murti Traders/ Mangal Murti Trade international,Non Extinct,450,8.90407E+12,,6/20/2017 10:56,6/20/2017 10:56,,CONFECTIONARY,,
PRIYAGOLD CHOCO CHEKKERS BISCUITS 90GM,BM67215,FMCG FOOD,Vishwanath & Sons,Non Extinct,25,8.90165E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
NIVEA DEO- ROLL ON 50 ML ENERGY FRESH,BM9357,FMCG H&B,Krishna Nepal Trading Pvt. Ltd. ( Nivea),Non Extinct,180,4.00581E+12,,6/20/2017 10:56,6/20/2017 10:56,,DEOS & PERFUME,,
BRITANNIA MILK RUSKS 310G,BM61782,FMCG FOOD,Infinity Distributors Pvt. Ltd.,Non Extinct,130,8.90106E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
BRITANNIA GOOD DAY RICH CASHEW COOKIES 200G,BM56602,FMCG FOOD,Infinity Distributors Pvt. Ltd.,Non Extinct,75,8.90106E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
PRIYA GOLD MAGIC FRUIT CAKE 150GM,BM67896,FMCG FOOD,Vishwanath & Sons,Non Extinct,75,8.90165E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
DOVE HAIR THERAPY DAILY SHINE SHAMPOO INDIAN 650ML,BM65654,FMCG H&B,Elida Nepal Limited,Non Extinct,688,8.90103E+12,,6/20/2017 10:56,6/20/2017 10:56,,HAIR CARE,,
DOVE HAIR THERAPY INTENSE REPAIR SHAMPOO INDIAN 650ML,BM65655,FMCG H&B,Elida Nepal Limited,Non Extinct,688,8.90103E+12,,6/20/2017 10:56,6/20/2017 10:56,,HAIR CARE,,
PRIYAGOLD SNACKS ZIGZAG 500GM,BM65430,FMCG FOOD,Vishwanath & Sons,Non Extinct,125,8.90165E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
PRIYAGOLD MARIE LITE 600GM,BM65431,FMCG FOOD,Vishwanath & Sons,Non Extinct,120,8.90165E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
PRIYAGOLD C & C  500GM,BM65432,FMCG FOOD,Vishwanath & Sons,Non Extinct,125,8.90165E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
MEIJI YAN YAN STRAWBERRY DIP BISCUIT SNACK 50GM,BM66040,FMCG FOOD,Radhika Import Export,Non Extinct,120,8.88808E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
SAMUDRA LEX SANDWICH BISCUIT LEMON 190GM,BM66949,FMCG FOOD,Sweekar Trading,Non Extinct,200,9.55504E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
SAMUDRA LEX SANDWICH BISCUIT CHEESE 190GM,BM66950,FMCG FOOD,Sweekar Trading,Non Extinct,200,9.55504E+12,,6/20/2017 10:56,6/20/2017 10:56,,BISCUITS,,
TROPOLITE FLEXI CREME 1L,BM53571,DAIRY,Trishul Trade Link,Non Extinct,374,8.90605E+12,,6/20/2017 10:56,6/20/2017 10:56,,FRESH DAIRY,,
BAGRRY''S WHITE OATS REFIL PACK 1.5KG,BM66043,FMCG FOOD,Sumeru Trade com,Non Extinct,425,8.90271E+12,,6/20/2017 10:56,6/20/2017 10:56,,BREAKFAST CEREALS,,
BAGRRY''S WHITE OATS REFIL PACK 1KG,BM47440,FMCG FOOD,Sumeru Trade com,Non Extinct,330,8.90271E+12,,6/20/2017 10:56,6/20/2017 10:56,,BREAKFAST CEREALS,,
