ICODE,ITEM_EXTINCT
BM44341,Non Extinct
BM60362,Non Extinct
BM60363,Extinct
BM11211,Non Extinct
BM7503,Non Extinct
BM50382,Non Extinct
BM7497,Non Extinct
BM31876,Non Extinct
BM7512,Non Extinct
BM68059,Non Extinct
BM46713,Non Extinct
BM46715,Extinct
BM61737,Non Extinct
BM61738,Non Extinct
BM50944,Non Extinct
BM61739,Non Extinct
BM51257,Non Extinct
BM50881,Non Extinct
BM45563,Non Extinct
BM45564,Non Extinct
BM47028,Non Extinct
BM66052,Non Extinct
BM66055,Extinct
BM50768,Extinct
BM10136,Non Extinct
BM61740,Non Extinct
BM61741,Non Extinct
BM60380,Non Extinct
BM50945,Extinct
BM60382,Non Extinct
BM50947,Non Extinct
BM47034,Non Extinct
BM46329,Non Extinct
BM46567,Non Extinct
BM46582,Non Extinct
BM51851,Non Extinct
BM46956,Non Extinct
BM60367,Extinct
BM68318,Non Extinct
BM67191,Non Extinct
BM46991,Extinct
BM67715,Non Extinct
BM66331,Non Extinct
BM7494,Non Extinct
BM49544,Non Extinct
BM66114,Non Extinct
BM66811,Non Extinct
BM66115,Non Extinct
BM46843,Extinct
BM45583,Non Extinct
BM63555,Non Extinct
BM62735,Non Extinct
BM62738,Non Extinct
BM46049,Non Extinct
BM63081,Non Extinct
BM63080,Non Extinct
BM7927,Non Extinct
BM68580,Non Extinct
BM13384,Non Extinct
BM59673,Extinct
BM62810,Non Extinct
BM50073,Extinct
BM46054,Non Extinct
BM50075,Extinct
BM66487,Non Extinct
BM55420,Non Extinct
BM67736,Non Extinct
BM67735,Non Extinct
BM54474,Non Extinct
BM46976,Non Extinct
BM46828,Non Extinct
BM60985,Extinct
BM13810,Non Extinct
BM55475,Non Extinct
BM50611,Non Extinct
BM65246,Non Extinct
BM14218,Non Extinct
BM55156,Non Extinct
BM55157,Non Extinct
BM62783,Non Extinct
BM55160,Non Extinct
BM7506,Extinct
BM59670,Extinct
BM9929,Non Extinct
BM63558,Non Extinct
BM63557,Non Extinct
BM55108,Non Extinct
BM65208,Non Extinct
BM54779,Non Extinct
BM54780,Non Extinct
BM60523,Extinct
BM50652,Extinct
BM51293,Extinct
BM50072,Extinct
BM46600,Non Extinct
BM57255,Non Extinct
BM57258,Non Extinct
BM60818,Non Extinct
BM60364,Non Extinct
BM47558,Non Extinct
BM66654,Non Extinct
BM66655,Non Extinct
BM44839,Non Extinct
BM44844,Non Extinct
BM51454,Extinct
BM2912,Non Extinct
BM45582,Non Extinct
BM2907,Non Extinct
BM2908,Non Extinct
BM2909,Non Extinct
BM2914,Non Extinct
BM67206,Non Extinct
BM33850,Non Extinct
BM55421,Non Extinct
BM63144,Non Extinct
BM52121,Non Extinct
BM66662,Non Extinct
BM50827,Non Extinct
BM46823,Non Extinct
BM47022,Non Extinct
BM46826,Non Extinct
BM46825,Extinct
BM47174,Non Extinct
BM50831,Non Extinct
BM50830,Non Extinct
BM50080,Extinct
BM45467,Non Extinct
BM45391,Non Extinct
BM45392,Non Extinct
BM68125,Non Extinct
BM68134,Non Extinct
BM48210,Non Extinct
BM50775,Non Extinct
BM50776,Non Extinct
BM43518,Non Extinct
BM46521,Non Extinct
BM66833,Non Extinct
BM2919,Non Extinct
BM68711,Non Extinct
BM68710,Non Extinct
BM2915,Non Extinct
BM68706,Non Extinct
BM2916,Non Extinct
BM2918,Non Extinct
BM47124,Non Extinct
BM68757,Non Extinct
BM47129,Non Extinct
BM47123,Non Extinct
BM68713,Non Extinct
BM68034,Non Extinct
BM63437,Non Extinct
BM50661,Non Extinct
BM50662,Non Extinct
BM20227,Extinct
BM20231,Extinct
BM60094,Non Extinct
BM60897,Non Extinct
BM44588,Non Extinct
BM44587,Non Extinct
BM46347,Non Extinct
BM55466,Non Extinct
BM68661,Non Extinct
BM66750,Non Extinct
BM49682,Non Extinct
BM49704,Non Extinct
BM20234,Extinct
BM20237,Extinct
BM20240,Extinct
BM60485,Non Extinct
BM60484,Non Extinct
BM66915,Non Extinct
BM53191,Non Extinct
BM48550,Non Extinct
BM62765,Extinct
BM68346,Non Extinct
BM62770,Extinct
BM68484,Non Extinct
BM4279,Non Extinct
BM18551,Non Extinct
BM4306,Non Extinct
BM31347,Non Extinct
BM9012,Non Extinct
BM48152,Non Extinct
BM62619,Non Extinct
BM60381,Non Extinct
BM60384,Non Extinct
BM48191,Non Extinct
BM68009,Non Extinct
BM68011,Non Extinct
BM62151,Non Extinct
BM35171,Non Extinct
BM59246,Non Extinct
BM60379,Non Extinct
BM45526,Non Extinct
BM50837,Non Extinct
BM50711,Non Extinct
BM66594,Non Extinct
BM24326,Non Extinct
BM60370,Extinct
BM50714,Non Extinct
BM50715,Non Extinct
BM65688,Non Extinct
BM68427,Non Extinct
BM66834,Non Extinct
BM30584,Non Extinct
BM59248,Non Extinct
BM13383,Non Extinct
BM45149,Non Extinct
BM50430,Extinct
BM20923,Non Extinct
BM47068,Non Extinct
BM46739,Non Extinct
BM47363,Non Extinct
BM55359,Non Extinct
BM55351,Extinct
BM54120,Non Extinct
BM2926,Non Extinct
BM55146,Non Extinct
BM2929,Non Extinct
BM2925,Non Extinct
BM47839,Non Extinct
BM1028,Non Extinct
BM2721,Non Extinct
BM65727,Non Extinct
BM65726,Non Extinct
BM46331,Non Extinct
BM45142,Non Extinct
BM47694,Non Extinct
BM22684,Non Extinct
BM22678,Non Extinct
BM22681,Non Extinct
BM22683,Non Extinct
BM55343,Extinct
BM54117,Non Extinct
BM44576,Non Extinct
BM47620,Non Extinct
BM52115,Non Extinct
BM55368,Non Extinct
BM20561,Extinct
BM61122,Non Extinct
BM19525,Non Extinct
BM46118,Non Extinct
BM46119,Extinct
BM46122,Extinct
BM22676,Non Extinct
BM22691,Non Extinct
BM52052,Non Extinct
BM60084,Non Extinct
BM60898,Non Extinct
BM6606,Non Extinct
BM68442,Non Extinct
BM4048,Non Extinct
BM4063,Non Extinct
BM64203,Non Extinct
BM47281,Non Extinct
BM47282,Non Extinct
BM44577,Non Extinct
BM1115,Non Extinct
BM11863,Non Extinct
BM2920,Non Extinct
BM45959,Non Extinct
BM16845,Non Extinct
BM65835,Non Extinct
BM1334,Non Extinct
BM68062,Non Extinct
BM65687,Non Extinct
BM54683,Non Extinct
BM55116,Non Extinct
