ITEM_NAME,ICODE,BARCODE,DEPARTMENT,CAT5(MOQ),DIVISION,SECTION,ITEM_EXTINCT
FARSI MUNTA(D) VEGETABLES   1 ,BM20093,7071,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
EGG-PLANT GREEN VEGETABLES   3 ,BM8965,1057,FRESH VEG,3,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
JACKFRUIT FRUITS   5 ,BM8945,1037,FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
PAPAYA GREEN FRUITS   1 ,BM8961,1053,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
EGG-PLANT SHORT VEGETABLES   1 ,BM8964,1056,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
HG ORGANIC GARLICK PACK 500GM HIMALAYAN GARDEN   1 ,BM54235,8200,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
HG ORGANIC GREEN ONION PC HIMALAYAN GARDEN   1 ,BM54237,8202,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
HG ORGANIC GREEN PEAS HIMALAYAN GARDEN   1 ,BM54238,8203,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
EVEREST MUSHROOM  BUTTER 250GM EVEREST 250G  0 ,BM12719,8127,FRESH VEG,0,FRESH,FRESH FRUIT & VEGETABLE,Extinct
EVEREST MUSHROOM WESTERN 200G EVEREST 200G  1 ,BM12720,8129,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
THYME FRESH FRUITS   1 ,BM12101,1119,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
METHI PATTA LEAFY VEG   1 ,BM8995,1087,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
SOYABEAN GREEN VEGETABLES   2 ,BM8969,1061,FRESH VEG,2,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
HG ORGANIC BAKULLA HIMALAYAN GARDEN   1 ,BM54169,8179,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
ONION WHITE/NEPALI VEGETABLES   1 ,BM8913,1005,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
BEAN SPROUTS SOYABEAN TUSA VEGETABLES   1 ,BM57131,9093,FRESH VEG,1,FRESH,FRESH FRUIT & VEGETABLE,Extinct
BAKULLA VEGETABLES   3 ,BM18128,1135,FRESH VEG,3,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
FRESH GREEN PEAS VEGETABLES   5 ,BM11561,1114,FRESH VEG,5,FRESH,FRESH FRUIT & VEGETABLE,Non Extinct
