Our list of product,,,,,,,,,,,oracele ko list,,
S.no,Product Name,Item Code,Barcode,asdasd,MOQ,Division,Department,Status,,,ITEM_NAME,ICODE,BARCODE
62,RADISH-WHITE VEGETABLES 5,BM8994,1086,40,5,FRESH,FRESH VEG,Active,,,GHIRAUNLA FRUITS   2 ,BM8955,1047
63,CHAMSUR PATTA LEAFY VEG 1,BM8996,1088,34,1,FRESH,FRESH VEG,Active,,,KARELA(D) VEGETABLES   1 ,BM20089,7067
64,RAYO SAAG LEAFY VEG 1,BM8997,1089,31,1,FRESH,FRESH VEG,Active,,,CAULIFLOWER/LOCAL VEGETABLES   5 ,BM8922,1014
65,FARSI MUNTA VEGETABLES 1,BM8998,1090,#N/A,1,FRESH,FRESH VEG,Active,,,GINGER VEGETABLES   3 ,BM8917,1009
66,ICEBERG LETUCE FRUITS 1,BM8999,1091,11,1,FRESH,FRESH VEG,Active,,,ONION RED/INDIAN VEGETABLES   10 ,BM8912,1004
67,LETUCE RED FRUITS 1,BM9000,1092,#N/A,1,FRESH,FRESH VEG,Active,,,RED POTATO VEGETABLES   10 ,BM8910,1002
68,SOUP SAAG/DILL LEAFY VEG 1,BM9002,1094,39,1,FRESH,FRESH VEG,Active,,,TAMA VEGETABLES   1 ,BM16047,1125
69,TURNIP/GANTE MULA FRUITS 1,BM9003,1095,#N/A,1,FRESH,FRESH VEG,Active,,,GARLIC VEGETABLES   3 ,BM8918,1010
70,SUGRIB 1,BM9004,1096,#N/A,1,FRESH,FRESH VEG,Active,,,RED POTATO VEGETABLES   10 ,BM8909,1001
71,TORI SAAG FRUITS 1,BM9005,1097,47,1,FRESH,FRESH VEG,Active,,,POTATO RED REGULAR (GRC) VEG KG  1 ,BM61544,8114
72,GREEN CHILLI LEAFY VEG 2,BM11408,1108,35,2,FRESH,FRESH VEG,Active,,,BABY POTATO VEGETABLES   10 ,BM12878,2108
73,PAKSOY SAAG LEAFY VEG 1,BM11412,1109,36,1,FRESH,FRESH VEG,Active,,,POTATO RED REGULAR (DHARNI) VEGETABLES   1 ,BM17981,8173
74,ORANGE NEPAL FRUITS 0,BM9050,1111,#N/A,0,FRESH,LONG FRUITS,Active,,,POTATO RED (BIG) VEGETABLES   10 ,BM20136,7116
75,CELERY LOCAL HERBS 5,BM11413,1112,32,5,FRESH,FRESH VEG,Active,,,TARUL VEGETABLES   0 ,BM29434,2144
76,FRESH GREEN PEAS VEGETABLES 5,BM11561,1114,55,5,FRESH,FRESH VEG,Active,,,SWEET POTATO(D) VEGETABLES   1 ,BM20090,7068
77,NEURO SAAG VEGETABLES 1,BM12074,1118,60,1,FRESH,FRESH VEG,Active,,,ONION RED/INDIAN.,BM67472,35
78,THYME FRESH FRUITS 1,BM12101,1119,#N/A,1,FRESH,FRESH VEG,Active,,,I.L.D ROUND RED POTATO I.L.D   0 ,BM64650,12
79,ORGANIC HALUWABED ORGANIC 2,BM14102,1124,119,2,FRESH,LONG FRUITS,Active,,,I.L.D ROUND RED POTATO (D) I.L.D   1 ,BM30875,7
80,TAMA VEGETABLES 1,BM16047,1125,68,1,FRESH,LONG FRESH VEG,Active,,,LAPSI VEGETABLES   2 ,BM8976,1068
81,BAKULLA VEGETABLES 3,BM18128,1135,54,3,FRESH,FRESH VEG,Active,,,COCONUT WATER FRUITS   1 ,BM9035,2028
82,POMELO FRUITS 1,BM58551,1144,#N/A,1,FRESH,LONG FRUITS,Active,,,WATERMELON LONG FRUITS   10 ,BM9072,2065
83,BEMARA FRUITS 1,BM58552,1145,120,1,FRESH,LONG FRUITS,Active,,,APPLE FUJI THAILAND FRUITS   10 ,BM19859,2131
84,I.L.D ROUND RED POTATO I.L.D 0,BM64650,12,78,0,FRESH,LONG FRESH VEG,Active,,,APPLE CHOCOLATE FRUITS   10 ,BM9011,2004
85,PIDALU,BM64324,1201,#N/A,5,FRESH,LONG FRESH VEG,Active,,,RED HONEY MELON FRUITS   10 ,BM20708,2155
